35,94,11,9,36,40,31,25,40,83
23,67,41,93,6,12,29,54,43,91
94,19,40,18,22,54,73,12,24,3
95,40,21,67,98,5,72,3,97,84
1,53,97,42,84,14,19,79,57,89
94,1,33,86,20,68,39,84,92,38
5,95,18,14,39,12,93,70,26,2
53,57,18,67,79,59,38,61,46,41
19,79,36,76,30,72,7,97,68,30
90,7,29,41,22,87,89,16,46,21
17,2,44,22,78,85,52,93,40,91
19,29,45,84,20,6,98,36,75,61
12,54,19,65,11,43,2,62,26,25
3,87,68,47,25,82,64,65,57,95
52,75,28,75,95,35,35,60,75,98
12,59,54,18,36,22,14,23,95,28
63,27,48,83,76,31,77,14,25,11
25,87,25,77,11,10,77,14,13,52
72,37,58,23,71,21,23,67,89,32
15,56,79,75,12,87,35,90,64,91
